rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
29,jithunnair-amd,0.002384440029464797,0.010007438683909268,0.1794871794871795,7,5,0.05780216146311254,5
30,tugsbayasgalan,0.003562970001361601,0.00018066194536782773,0.1794871794871795,7,3,0.05532554043030883,3
31,danielvegamyhre,0.0035707283707352233,0.0,0.1794871794871795,7,0,0.05527444519444793,5
32,Flamefire,0.002781026592037387,0.000746736040853688,0.1794871794871795,7,1,0.055182585295224906,4
33,jeffdaily,0.0029166960333701095,0.006678369546016605,0.15384615384615385,6,7,0.04932403543099918,5
34,sekyondaMeta,0.007214501301512466,0.0,0.15384615384615385,6,0,0.04903964667445114,2
35,hvaara,0.004008786356850868,0.0026497176564021494,0.15384615384615385,6,4,0.04855227599350715,4
36,jovan2009,0.005561772218497897,0.0,0.15384615384615385,6,0,0.048378555041245316,4
37,ZJY0516,0.004298728158440738,0.0,0.15384615384615385,6,0,0.04787333741722245,5
38,Birch-san,0.003852243619201335,0.0,0.15384615384615385,6,0,0.04769474360152669,4
39,vmoens,0.003297940649653329,0.0,0.15384615384615385,6,0,0.04747302241370749,5
40,psiwho,0.0023912988614604993,0.0,0.15384615384615385,6,0,0.047110365698430356,4
41,ALinrunrun,0.0023472844701808555,0.0,0.15384615384615385,6,0,0.0470927599419185,4
42,nikitaved,0.00976612950754973,0.007091131907308375,0.1282051282051282,5,2,0.04449532983675086,4
43,aorenste,0.005483395351654052,0.009043025403319511,0.1282051282051282,5,12,0.04336780422319593,5
44,mansiag05,0.007035803015366269,0.00676945327680622,0.1282051282051282,5,1,0.04330669565072683,4
45,nWEIdia,0.003407504310722241,0.004423636776577954,0.1282051282051282,5,4,0.041151631218800735,5
46,fmassa,0.0020093560133879955,0.005960909085909087,0.1282051282051282,5,1,0.04105355359266638,5
47,pianpwk,0.0026023858719885665,0.0028568532245002837,0.1282051282051282,5,4,0.04035954877768397,5
48,SilentTester73,0.004327866786995803,0.0,0.1282051282051282,5,0,0.04019268517633678,3
49,kurtamohler,0.0025330697034931,0.002191027926322044,0.1282051282051282,5,3,0.04013207472083231,4
50,AGFACBNNR,0.004134054503645561,0.0,0.1282051282051282,5,0,0.040115160262996684,3
51,ilmarkov,0.004055236209951352,0.0,0.1282051282051282,5,0,0.040083632945519,4
52,Heronalps,0.0030736178800235083,0.0,0.1282051282051282,5,0,0.03969098561354786,4
53,dxqb,0.003002602289174779,0.0,0.1282051282051282,5,0,0.039662579377208365,4
54,apbose,0.0029950878074041782,0.0,0.1282051282051282,5,0,0.039659573584500125,3
55,zifan6699,0.002884725851170365,0.0,0.1282051282051282,5,0,0.0396154288020066,3
56,zxd1997066,0.0028173304413245896,0.0,0.1282051282051282,5,0,0.03958847063806829,3
57,Prorrrice,0.0021265404004526044,0.0,0.1282051282051282,5,0,0.0393121546217195,4
58,tinywisdom,0.002107118550951513,0.0,0.1282051282051282,5,0,0.03930438588191906,3
59,pganssle-google,0.008478698471396035,0.014685959355077,0.10256410256410256,4,1,0.03856649796431228,4
60,williamwen42,0.0023095758762411355,0.006895063696534284,0.10256410256410256,4,11,0.033761580228687506,5
61,jhavukainen,0.0030547778064843275,0.005622300107594226,0.10256410256410256,4,5,0.033677831924102765,4
62,bdhirsh,0.001716036895702685,0.0030916541945953738,0.10256410256410256,4,6,0.032383141785890454,5
63,Herxity,0.003913135362372254,0.0,0.10256410256410256,4,0,0.032334484914179666,3
64,barakugav,0.003873870416950803,0.0,0.10256410256410256,4,0,0.03231877893601109,4
65,jianyizh,0.0033675215671799767,0.0,0.10256410256410256,4,0,0.03211623939610276,2
66,ilan-gold,0.003334729944368524,0.0,0.10256410256410256,4,0,0.03210312274697818,3
67,Giuseppe5,0.0030422414404026096,0.0,0.10256410256410256,4,0,0.03198612734539181,2
68,mayank31398,0.003022923155494826,0.0,0.10256410256410256,4,0,0.0319784000314287,4
69,robert-hardwick,0.0021454785857321266,0.0009143501790560615,0.10256410256410256,4,1,0.031901727257240435,3
70,HelloWorldLTY,0.0028202767075889,0.0,0.10256410256410256,4,0,0.031897341452266324,4
71,jsmolic,0.0028119920824764516,0.0,0.10256410256410256,4,0,0.03189402760222135,3
72,ydshieh,0.0028071098543337976,0.0,0.10256410256410256,4,0,0.03189207471096429,4
73,sumitbinnani,0.002764789186120228,0.0,0.10256410256410256,4,0,0.03187514644367886,2
74,dest1n1s,0.0026616447459401993,0.0,0.10256410256410256,4,0,0.03183388866760685,3
75,Pythonix,0.0024773495774931984,0.0,0.10256410256410256,4,0,0.031760170600228045,3
76,raindrops-0199,0.00246277099502282,0.0,0.10256410256410256,4,0,0.031754339167239895,3
77,griffinstalha,0.0023389448777180045,0.0,0.10256410256410256,4,0,0.031704808720317966,3
78,francois-rozet,0.0022949051396544064,0.0,0.10256410256410256,4,0,0.03168719282509253,3
79,GLivshits,0.0022305296964405482,0.0,0.10256410256410256,4,0,0.03166144264780699,4
80,yiwangchunyu,0.0019491298832546005,0.0,0.10256410256410256,4,0,0.03154888272253261,4
81,zklaus,0.0020344675174795704,0.011159225681284505,0.07692307692307693,3,3,0.02723847778830026,4
